AlphaValue,Scenario,AvgCPUUtil,AvgRAMUtil,AvgPower,AvgExecTime,LeaderInfluence
0.50,Micro,0.3430,0.2438,980.00,0.0215,0.55
0.50,Small,0.6990,0.5237,2310.00,120.6919,0.55
0.50,Medium,0.7073,0.5421,4620.00,1.0477,0.55
0.60,Micro,0.3430,0.2438,980.00,0.0215,0.64
0.60,Small,0.6990,0.5237,2310.00,120.6919,0.64
0.60,Medium,0.7073,0.5421,4620.00,1.0477,0.64
0.70,Micro,0.3430,0.2438,980.00,0.0215,0.73
0.70,Small,0.6990,0.5237,2310.00,120.6919,0.73
0.70,Medium,0.7073,0.5421,4620.00,1.0477,0.73
0.75,Micro,0.3430,0.2438,980.00,0.0215,0.78
0.75,Small,0.6990,0.5237,2310.00,120.6919,0.78
0.75,Medium,0.7073,0.5421,4620.00,1.0477,0.78
0.80,Micro,0.3430,0.2438,980.00,0.0215,0.82
0.80,Small,0.6990,0.5237,2310.00,120.6919,0.82
0.80,Medium,0.7073,0.5421,4620.00,1.0477,0.82
0.90,Micro,0.3430,0.2438,980.00,0.0215,0.91
0.90,Small,0.6990,0.5237,2310.00,120.6919,0.91
0.90,Medium,0.7073,0.5421,4620.00,1.0477,0.91
