Algorithm,Scenario,AvgCPUUtil,AvgRAMUtil,AvgPower,AvgExecTime,TotalVMs,SuccessRate
HO,Micro,0.3528,0.2449,980.00,0.0956,10,100.00
HO,Small,0.6908,0.5267,2310.00,543.4053,46,100.00
HO,Medium,0.6992,0.5370,4620.00,481.8232,97,100.00
FirstFit,Micro,0.3930,0.2766,980.00,0.0477,10,100.00
FirstFit,Small,0.7522,0.5653,2310.00,0.5865,50,100.00
FirstFit,Medium,0.7357,0.5622,4620.00,1.1125,100,100.00
GA,Micro,0.4178,0.2891,980.00,0.0493,10,100.00
GA,Small,0.7520,0.5652,2310.00,0.5804,50,100.00
GA,Medium,0.7361,0.5625,4620.00,1.1080,100,100.00
