BetaValue,Scenario,AvgCPUUtil,AvgRAMUtil,AvgPower,AvgExecTime,ExplorationLevel
0.10,Micro,0.3171,0.2303,980.00,0.1296,0.20
0.10,Small,0.6025,0.4602,2310.00,61.0387,0.20
0.10,Medium,0.6217,0.4737,4620.00,1.1231,0.20
0.15,Micro,0.3171,0.2303,980.00,0.1296,0.30
0.15,Small,0.6025,0.4602,2310.00,61.0387,0.30
0.15,Medium,0.6217,0.4737,4620.00,1.1231,0.30
0.20,Micro,0.3171,0.2303,980.00,0.1296,0.40
0.20,Small,0.6025,0.4602,2310.00,61.0387,0.40
0.20,Medium,0.6217,0.4737,4620.00,1.1231,0.40
0.25,Micro,0.3171,0.2303,980.00,0.1296,0.50
0.25,Small,0.6025,0.4602,2310.00,61.0387,0.50
0.25,Medium,0.6217,0.4737,4620.00,1.1231,0.50
0.30,Micro,0.3171,0.2303,980.00,0.1296,0.60
0.30,Small,0.6025,0.4602,2310.00,61.0387,0.60
0.30,Medium,0.6217,0.4737,4620.00,1.1231,0.60
0.40,Micro,0.3171,0.2303,980.00,0.1296,0.80
0.40,Small,0.6025,0.4602,2310.00,61.0387,0.80
0.40,Medium,0.6217,0.4737,4620.00,1.1231,0.80
