MaxIterations,Scenario,AvgCPUUtil,AvgRAMUtil,AvgPower,AvgExecTime,ConvergenceQuality
80,Micro,0.3261,0.2289,980.00,0.1252,0.66
80,Small,0.7165,0.5356,2310.00,0.6210,0.66
80,Medium,0.7061,0.5424,4620.00,1.1623,0.66
120,Micro,0.3261,0.2289,980.00,0.1252,0.74
120,Small,0.7165,0.5356,2310.00,0.6210,0.74
120,Medium,0.7061,0.5424,4620.00,1.1623,0.74
150,Micro,0.3261,0.2289,980.00,0.1252,0.80
150,Small,0.7165,0.5356,2310.00,0.6210,0.80
150,Medium,0.7061,0.5424,4620.00,1.1623,0.80
200,Micro,0.3261,0.2289,980.00,0.1252,0.90
200,Small,0.7165,0.5356,2310.00,0.6210,0.90
200,Medium,0.7061,0.5424,4620.00,1.1623,0.90
250,Micro,0.3261,0.2289,980.00,0.1252,0.98
250,Small,0.7165,0.5356,2310.00,0.6210,0.98
250,Medium,0.7061,0.5424,4620.00,1.1623,0.98
300,Micro,0.3261,0.2289,980.00,0.1252,0.98
300,Small,0.7165,0.5356,2310.00,0.6210,0.98
300,Medium,0.7061,0.5424,4620.00,1.1623,0.98
